"","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","log.likelihood","convergence"
"944","150",44,1,0,0,0.5,0,0,0.844304903513113,-0.0215334033037504,-0.0215334033037504,0.565810345986504,-0.514691135961906,0.194753907595451,-321.428954919749,0
"945","150",45,1,0,0,0.5,0,0,0.797415531984672,0.00797524341518433,0.00797524341518433,0.498015795871267,-1.01732014292162,-0.616956105962142,-502.232307183026,0
"946","150",46,1,0,0,0.5,0,0,1.09825248781768,-0.0446006348648272,-0.0446006348648272,0.440498829534095,0.0371815652166779,-1.06506164958601,-318.226413969162,0
"947","150",47,1,0,0,0.5,0,0,1.161079607177,0.0915779852477917,0.0915779852477917,0.442061969449757,0.896456309291811,-0.20443911347057,-364.058668772054,0
"948","150",48,1,0,0,0.5,0,0,0.89710167137173,0.000549895562656707,0.000549895562656707,0.589825007747017,-0.11415509758573,0.120017813476219,-351.722294786897,52
"949","150",49,1,0,0,0.5,0,0,1.12075032280169,-0.0367053656212058,-0.0367053656212058,0.448291628547396,0.999066921285343,-0.336989278240816,-341.840531898847,52
"950","150",50,1,0,0,0.5,0,0,1.08755620454487,0.0450724917438842,0.0450724917438842,0.547121338436278,-1.30073237461474,-0.226234727966756,-353.002360902851,0
"951","150",51,1,0,0,0.5,0,0,1.07748089740633,-0.0150672401230958,-0.0150672401230958,0.466127014308041,0.340884117937595,0.216759585749699,-332.139230188626,0
"952","150",52,1,0,0,0.5,0,0,0.963031913987668,0.0225219893989102,0.0225219893989102,0.461025374814009,0.633254968456147,-0.295261802601417,-342.780172500247,0
"953","150",53,1,0,0,0.5,0,0,0.765095992818833,0.0124718048521503,0.0124718048521503,0.506140975917406,0.392758013938382,0.198717549493685,-317.416558114458,0
"954","150",54,1,0,0,0.5,0,0,1.12739769802429,-0.0216816514174329,-0.0216816514174329,0.395959169803727,0.0656890877246981,0.775904986300981,-365.094742081744,0
"955","150",55,1,0,0,0.5,0,0,1.0197337807207,-0.0578654626927306,-0.0578654626927306,0.516012825631176,0.338222626966156,0.167017829006739,-359.293149953469,52
"956","150",56,1,0,0,0.5,0,0,0.837301791749246,0.0432655809901186,0.0432655809901186,0.43798421898815,-0.33320355856809,-0.929767988011578,-339.99411758172,0
"957","150",57,1,0,0,0.5,0,0,0.75723067813915,0.00478669929821984,0.00478669929821984,0.533006016952267,1.04997298544555,-0.00884019347132737,-330.535944188902,52
"958","150",58,1,0,0,0.5,0,0,1.05773136048652,0.0869172398561684,0.0869172398561684,0.483771622382452,-0.469015048223366,-0.627747454753765,-352.363744044172,52
"959","150",59,1,0,0,0.5,0,0,0.894844785390394,-0.0215349618451691,-0.0215349618451691,0.549242997369432,-1.23599769980135,0.233861844065582,-332.917713802714,0
"960","150",60,1,0,0,0.5,0,0,1.03514574672198,-0.0312930129172242,-0.0312930129172242,0.479726821812151,-1.26648058685857,0.477539120267335,-372.343968320498,0
"961","150",61,1,0,0,0.5,0,0,1.00558968842115,0.0135257863374385,0.0135257863374385,0.398795841123751,-1.17834850375445,-0.796998296374261,-303.706447991592,52
"962","150",62,1,0,0,0.5,0,0,0.910658080596088,-0.00864139183846606,-0.00864139183846606,0.531558021431038,-0.773971971664997,-0.401868589782279,-339.98883226812,0
"963","150",63,1,0,0,0.5,0,0,0.893560410378527,-0.100807490104102,-0.100807490104102,0.518639018146366,0.13106286612396,1.02274997906205,-346.756169319355,0
"964","150",64,1,0,0,0.5,0,0,1.11792857075574,-0.0322312961398761,-0.0322312961398761,0.421611765145023,0.903407850514451,-0.013240038752377,-334.152909517094,0
"965","150",65,1,0,0,0.5,0,0,0.901183784014836,-0.0550284221404145,-0.0550284221404145,0.497628158611328,0.477849312114559,0.135079925909485,-343.083050237627,0
"966","150",66,1,0,0,0.5,0,0,1.03504956795567,0.0289313627540655,0.0289313627540655,0.650748116600209,0.344182781004914,1.49948020865172,-364.154836035471,0
"967","150",67,1,0,0,0.5,0,0,0.986044577576419,0.00193296292018681,0.00193296292018681,0.490992597540853,-0.242718736974381,-0.635538345223789,-332.727573412973,0
"968","150",68,1,0,0,0.5,0,0,0.864260741700772,-0.0102614474359942,-0.0102614474359942,0.559453819791402,-0.244992088428387,0.731958236074412,-368.247506291282,0
"969","150",69,1,0,0,0.5,0,0,0.966825224061345,-0.0292885835693267,-0.0292885835693267,0.501576953374837,-0.514379719943738,-1.75178339110897,-466.10914240904,0
"970","150",70,1,0,0,0.5,0,0,1.00495704055767,-0.024715317819135,-0.024715317819135,0.581941692915579,0.0857310465031739,-0.312580143035563,-480.783391362402,0
"971","150",71,1,0,0,0.5,0,0,0.942150113922574,-0.100637947050348,-0.100637947050348,0.577582709142589,-0.0674737173003304,-0.950579529977948,-369.545300166851,0
"972","150",72,1,0,0,0.5,0,0,0.965656648079531,0.0175179253617485,0.0175179253617485,0.530008491447197,-0.0304241465228854,-0.434670414207092,-370.180021529568,0
"973","150",73,1,0,0,0.5,0,0,0.973081472321251,-0.0757768414854881,-0.0757768414854881,0.474549795872716,-1.10147420153711,-1.71585987522699,-353.858319949172,0
"974","150",74,1,0,0,0.5,0,0,1.11731513236904,-0.00694939137433907,-0.00694939137433907,0.580765071779732,1.9344023084666,0.0695183514650141,-360.385058200511,0
"975","150",75,1,0,0,0.5,0,0,1.18414071822514,-0.021357262664731,-0.021357262664731,0.524500406897416,0.377501245605041,0.450406356785021,-352.747245300878,0
"976","150",76,1,0,0,0.5,0,0,1.02448908548513,0.0561128642709247,0.0561128642709247,0.438972352547574,-0.784548801846915,0.87001103312738,-418.625430080351,0
"977","150",77,1,0,0,0.5,0,0,0.986728230477429,-0.0997970940747184,-0.0997970940747184,0.505736229532665,-0.104630828070492,0.0666794279381388,-357.333121531,0
"978","150",78,1,0,0,0.5,0,0,1.23334053398194,0.00859962927848407,0.00859962927848407,0.459265871174035,0.437233374023844,-0.625103262463748,-358.265167978669,52
"979","150",79,1,0,0,0.5,0,0,1.03759367176636,0.05693902774244,0.05693902774244,0.472606017051354,-0.139603846368013,-0.301141814155076,-351.047876269473,0
"980","150",80,1,0,0,0.5,0,0,0.85919907893324,0.00589554542092957,0.00589554542092957,0.554901437415014,-1.28945846399226,-0.128902151730342,-354.716690658479,0
"981","150",81,1,0,0,0.5,0,0,1.02704824864982,-0.0150707368860618,-0.0150707368860618,0.457177218837693,-0.805571953357163,0.486126613966361,-336.426909256155,0
"982","150",82,1,0,0,0.5,0,0,0.862671786688134,0.0504874979395966,0.0504874979395966,0.511155789033577,-1.86354973870971,-0.750199139308847,-342.694206334321,0
"983","150",83,1,0,0,0.5,0,0,0.825492940503353,-0.00020224803593168,-0.00020224803593168,0.52152991980408,0.693104976985626,-0.127387041987535,-342.633114133191,0
"984","150",84,1,0,0,0.5,0,0,1.0254723332144,-0.0760711123806115,-0.0760711123806115,0.521505709093625,0.217060746298137,-0.457904916427982,-333.822890705912,52
"985","150",85,1,0,0,0.5,0,0,1.04313373292136,0.0161169120010523,0.0161169120010523,0.440363193434201,-0.617824994752204,-0.41012841361973,-431.849333686505,0
"986","150",86,1,0,0,0.5,0,0,0.970412954744043,-0.0457333349254628,-0.0457333349254628,0.424784361161296,1.85754721586784,-0.0676160490372096,-340.008423543976,0
"987","150",87,1,0,0,0.5,0,0,0.796957875196482,-0.076013445954593,-0.076013445954593,0.503730833217631,-0.430968711779468,0.608512991149386,-341.824966629744,0
"988","150",88,1,0,0,0.5,0,0,0.937829098382263,-0.0264910886133496,-0.0264910886133496,0.516488209406483,-2.44138890757141,1.35594847317108,-417.663538061724,0
"989","150",89,1,0,0,0.5,0,0,1.08927151145514,-0.0187780414961033,-0.0187780414961033,0.463248803467175,0.322656824240836,0.347924084403122,-343.970333767851,0
"990","150",90,1,0,0,0.5,0,0,0.966256290488002,-0.0221838009121376,-0.0221838009121376,0.471119026265415,1.7716774198638,0.592898705088744,-334.431984110019,0
"991","150",91,1,0,0,0.5,0,0,0.920737002751868,-0.0211579963934789,-0.0211579963934789,0.602218898467399,0.117184813268436,-0.232876552109159,-357.600852463497,0
"992","150",92,1,0,0,0.5,0,0,1.0302461226181,0.031899052559892,0.031899052559892,0.467647571922282,1.03567534006344,0.129301653017747,-355.830390521914,0
"993","150",93,1,0,0,0.5,0,0,1.08206657080577,-0.0436639980664845,-0.0436639980664845,0.54598482074089,0.90976969843633,0.0111359066877169,-380.508619784389,52
"994","150",94,1,0,0,0.5,0,0,1.01661129329117,-0.0617953119099059,-0.0617953119099059,0.590943765788565,1.38431469429689,-1.64952884216423,-372.349942516275,0
"995","150",95,1,0,0,0.5,0,0,1.14989011224533,-0.00111779388722407,-0.00111779388722407,0.381134166874082,-3.11235793757786,0.0711975164441899,-326.664199360553,0
"996","150",96,1,0,0,0.5,0,0,0.830059636593719,0.0414800159976043,0.0414800159976043,0.463356776637422,1.40169798544554,-0.619619858713663,-324.259446654741,0
"997","150",97,1,0,0,0.5,0,0,1.22555919608749,0.0554814470904517,0.0554814470904517,0.50606537542258,0.939159724391772,-0.900419228061131,-372.351557358668,0
"998","150",98,1,0,0,0.5,0,0,0.881803796032901,0.0568941812179503,0.0568941812179503,0.507267613755423,1.23448523678066,0.237884621372575,-337.20199058564,0
"999","150",99,1,0,0,0.5,0,0,1.03174754102683,0.0335309517747613,0.0335309517747613,0.452506415557583,-0.117690712135083,0.0553571629582827,-327.545352536042,0
