"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.cov","root.1","root.2","r.term.1","r.term.2","r.term.cov","est.sig2.1","est.sig2.2","est.sig2.cov","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.cov","log.likelihood","convergence"
"16",7,50,10,1,0.5,-0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.30541849640244,0.217540528281265,-0.583168227121486,501751852507258,208627908122252,0.0653399165753352,0.0431917622442698,0,1512927999819707,10
"17",8,50,10,1,0.5,-0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.196255260125092,0.169933418152436,-0.338328697597395,3586722585325.81,1997511734541.07,0.0321430042847487,0.016767425601714,0,1487714931179538,10
"18",9,50,10,1,0.5,-0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0587466708461584,0.0191985193638601,-0.11324185387935,45966987021827.7,28611793708817,0.0479924459314363,0.0441889720950186,0,114823373678182448,10
"19",1,50,6,1,0.5,0,0,0,-0.0138629436111989,-0.0138629436111989,0,0.382088883318779,0.0558322722395183,0.319153697643671,2186798365966764,-557581251415632,0.05843784585061,0.0452482466620933,0,29836347531329520,10
"20",2,50,6,1,0.5,0,0,0,-0.0460517018598809,-0.0460517018598809,0,0.211078037367762,0.166021405045993,-0.348953822513145,-145783577905827,-195108649829875,0.0286093603308694,0.0369327357710224,0,16866508370083848,10
"21",3,50,6,1,0.5,0,0,0,-0.0921034037197618,-0.0921034037197618,0,0.132076386051745,0.0172743279487992,0.135665616973084,7273144720866295,-2024522165222802,0.0545315312454419,0.0476802319620178,0,1333065489701666816,10
"22",4,50,6,1,0.5,0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.22526770745181,0.111398671157059,0.647102063412948,116137956196735,-70532854289309.3,0.0658013602729799,0.0616449152920651,0,3236962232172498,10
"23",5,50,6,1,0.5,0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.152106185450327,0.292851332097309,0.611626787001828,0.908332160832134,0.200113742513202,0.0332196083326126,0.0274622142388337,0,320614.019962162,0
"24",6,50,6,1,0.5,0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0858696873580921,0.0573556583043208,0.153675652489749,699330088531118,-683130765945869,0.0563567995427093,0.0628274580428782,0,3025855999639552,10
"25",7,50,6,1,0.5,-0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.408787424823314,0.0887258972553619,-0.357350647754632,310503350207695,177821671289464,0.0402391695838186,0.0461901922252388,0,5946158883012593,10
