,X,tree.size,tree.number,sig2.1,sig2.2,sig2.3,sig2.4,theta.1,theta.2,alpha.1,alpha.2,alpha.3,alpha.4,est.sig2.1,est.sig2.2,est.sig2.3,est.sig2.4,est.theta.1,est.theta.2,est.alpha.1,est.alpha.2,est.alpha.3,est.alpha.4,log.likelihood,convergence
1422,30,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,212.3081495,15.58881675,15.58881675,1.144615546,0.892850372,0.858119771,55.0883026,-30.83520239,-30.83520239,38.38712423,-426.0514723,0
1423,31,150,4,1,0.5,0.5,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,12857.90399,9421.312064,9421.312064,18405.71604,-1.055771509,-0.407073339,3243.427939,-2554.063429,-2554.063429,5490.890476,-522.5127356,0
1424,32,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0.051986039,0,0.069314718,386.225136,717.2000445,717.2000445,1331.803312,-0.094092839,0.020005665,85.85083558,197.8914412,197.8914412,698.1005103,-439.6602489,0
1425,33,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,34.70572355,-28.36055789,-28.36055789,29.06936233,0.60135921,0.432777652,4.765304272,-1.984173211,-1.984173211,4.810369222,-486.9830412,0
1426,34,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,141.7604723,-116.7562474,-116.7562474,99.48675987,0.040513725,0.577340128,6.87444059,-4.075481669,-4.075481669,5.869431621,-533.7808037,0
1427,35,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,20.99857254,-7.100648709,-7.100648709,4.095259274,0.440302593,-1.223322581,3.53336503,-0.750835849,-0.750835849,1.787030726,-433.8305193,0
1428,36,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,14.44820038,-6.412463432,-6.412463432,4.653284084,0.092095319,0.383810226,2.276143967,0.167490052,0.167490052,1.312303255,-460.2394363,0
1429,37,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,0,0,0.693147181,0.448800607,-11.70019861,-11.70019861,311.5902843,1.19178643,1.703405018,233.0517236,341.4009777,341.4009777,734.8273407,-214.9137031,0
1430,38,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,75.0330029,-68.54820807,-68.54820807,83.23469354,0.682683984,2.383617671,68.0762785,1.776548214,1.776548214,55.34315753,-256.0359466,0
1431,39,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,599.3443683,779.1691103,779.1691103,1043.468389,0.678692119,1.655386739,1122.954128,1462.194396,1462.194396,1941.541478,-256.7539681,0
1432,40,150,2,1,-0.5,-0.5,0.5,1,2,1.386294361,0.519860385,0,0.693147181,487.7238505,244.712189,244.712189,239.9688003,0.93271737,2.035722283,1953.933159,1371.233674,1371.233674,1061.82298,-231.3991342,0
1433,41,150,3,1,-0.5,-0.5,0.5,1,2,0.693147181,0,0,0.34657359,1.019562473,-0.578254611,-0.578254611,0.552026788,0.997410179,1.539568006,0.717373114,-0.024343797,-0.024343797,0.341236457,-215.7741369,0
1434,42,150,3,1,-0.5,-0.5,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,0.959318889,-0.367383239,-0.367383239,0.426398142,1.251402553,1.357476227,0.909901099,0.411716554,0.411716554,0.454026495,-218.7659923,0
1435,43,150,3,1,-0.5,-0.5,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,0.990582493,-0.490824057,-0.490824057,0.533154326,0.656477442,0.997257438,0.664434407,-0.259935654,-0.259935654,0.438763791,-230.0330052,0
1436,44,150,3,1,-0.5,-0.5,0.5,1,2,0.693147181,0.259930193,0,0.34657359,1.186287509,-0.715732788,-0.715732788,0.686590114,1.247761992,1.082773377,0.720260803,0.039554807,0.039554807,0.325769342,-238.7413626,0
1437,45,150,4,1,-0.5,-0.5,0.5,1,2,0.138629436,0,0,0.069314718,55.44301781,290.1264287,290.1264287,1523.643694,-0.331867604,1.304076057,658.0628301,1084.072273,1084.072273,1892.110672,-410.8819103,0
1438,46,150,4,1,-0.5,-0.5,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,3011.961498,-1247.534051,-1247.534051,851.0150644,0.559673103,0.885270082,723.5841749,83.81383327,83.81383327,372.9121925,-443.0002955,0
1439,47,150,4,1,-0.5,-0.5,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,2665.501664,708.0366504,708.0366504,1322.299631,-0.056023537,-0.095325394,883.3430561,502.5639212,502.5639212,1151.395704,-429.1714037,0
1440,48,150,4,1,-0.5,-0.5,0.5,1,2,0.138629436,0.051986039,0,0.069314718,13862.9523,-12741.30975,-12741.30975,15007.6798,0.055616531,1.099135986,2256.688907,-659.4836995,-659.4836995,2836.11956,-477.1625384,0
1441,1,150,1,1,0,0,0.5,1,2,0,0,0,0,41.71930788,10.08504966,10.08504966,46.7043609,0.192972538,-0.126815623,4.063060751,1.748513656,1.748513656,4.00580382,-673.7586763,0
1442,2,150,1,1,0,0,0.5,1,2,0,0,0,0,47.70840006,-61.03036368,-61.03036368,210.5131645,-1.232915617,-1.59101249,4.532576472,-5.423731825,-5.423731825,46.28535936,-590.9731266,0
1443,3,150,1,1,0,0,0.5,1,2,0,0,0,0,84.49281287,58.79427335,58.79427335,220.3583565,0.725250926,-0.087886612,5.777836371,2.502124816,2.502124816,19.41509241,-688.5946305,0
1444,4,150,1,1,0,0,0.5,1,2,0,0,0,0,87.1217444,-33.88311023,-33.88311023,285.9620362,-1.341797451,0.950559351,3.398111014,0.390927795,0.390927795,26.35429076,-732.8114119,0
1445,5,150,2,1,0,0,0.5,1,2,1.386294361,0,0,0.693147181,1.119122381,0.204598109,0.204598109,0.609383215,1.027079937,1.994625749,1.807291994,0.086420122,0.086420122,0.834467221,-206.9712132,0
1446,6,150,2,1,0,0,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,1.102531309,-0.083820715,-0.083820715,0.563504348,0.860899228,2.027206957,1.629239291,0.812335591,0.812335591,0.991738459,-218.5661843,0
1447,7,150,2,1,0,0,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,1.01153939,0.012880122,0.012880122,0.627071055,0.813565597,1.766340343,1.261813917,-0.588867156,-0.588867156,0.864118995,-234.9759046,0
1448,8,150,2,1,0,0,0.5,1,2,1.386294361,0.519860385,0,0.693147181,1.473459278,-0.064316498,-0.064316498,0.478657855,1.01166679,1.801431092,2.099433048,0.059645016,0.059645016,0.642702742,-215.8535867,0
