"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","r.term.1","r.term.2","r.term.3","r.term.4","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.3","est.r.term.4","log.likelihood","convergence"
"654",6,20,3,0.01,0.005,0.005,0.005,0,0,0.230258509299405,0.230258509299405,0.230258509299405,0.230258509299405,0.241950242108145,0.246159162000038,0.206995077304203,0.544506189412099,0.881543322448079,0.433520561428089,0.287769976718983,-0.20625216163449,0.238675969859925,0.236762377965019,115.650679491274,1
"655",7,20,1,0.01,-0.005,-0.005,0.005,0,0,0.115129254649702,0.115129254649702,0.115129254649702,0.115129254649702,0.544993200293264,0.0490244526449813,-0.144005187505177,0.997703179350506,0.965662804265113,0.466995192484188,0.0430477863476469,0.0219127213981568,0.014420775053713,-0.182995184133674,-76097.8598036993,1
"656",8,20,2,0.01,-0.005,-0.005,0.005,0,0,0.195601150271407,0.195601150271407,0.195601150271407,0.195601150271407,0.0757346897255327,-0.414276031912318,-0.0316707303152764,0.719243133927506,0.471486141285439,1.04896878527038,0.251441415470879,0.0821919460009836,0.235383803788411,0.0934907740641388,75.0484468458642,1
"657",9,20,3,0.01,-0.005,-0.005,0.005,0,0,0.230258509299405,0.230258509299405,0.230258509299405,0.230258509299405,0.00214993280485064,0.258846687329768,-0.393352706413078,0.647295783871008,0.722665673315713,0.959603184421908,0.310801295513916,-0.089829466184132,0.284921273850184,0.200260219804623,-5470.34106473281,1
"658",10,50,1,0.01,0,0,0.005,0,0,0.0460517018598809,0,0,0.0460517018598809,0.538717288388538,-0.0160966380723484,0.0881768382531633,0.995102765379684,0.9608731983376,0.469500247837883,-0.0200618676564522,-0.0624314674716665,-0.00155326019311755,-0.130957596258459,-551549.419362721,1
"659",11,50,2,0.01,0,0,0.005,0,0,0.0782404601085629,0,0,0.0782404601085629,0.500361074955684,-0.000826391856489165,0.0991977249330621,1.00037607369564,0.999146649610537,0.500066360727837,-0.0958734968198115,-0.0507920779867228,-0.0531349356301912,-0.097500718534336,-2427750.30328572,1
"660",12,50,3,0.01,0,0,0.005,0,0,0.0921034037197618,0,0,0.0921034037197618,0.500113542274054,-0.000259025453786181,0.0995206705305716,0.999997438841932,0.999445702541043,0.501589893479455,-0.0960396782395022,-0.053674727445916,-0.0522917541492787,-0.0974321373571611,-33457051.0536175,1
"661",13,50,1,0.01,0.005,0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.502085056276244,-0.00512692532300494,0.0971514536610638,1.00043379829942,0.997097039170202,0.505129327918099,-0.0919674979484982,-0.0532413789549331,-0.0514327137477823,-0.0923211303965361,-495923.07669901,1
"662",14,50,2,0.01,0.005,0.005,0.005,0,0,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.571425163253006,-0.00563100696143126,0.0719156545863674,1.02660199621542,0.940766428060628,0.462284838518132,-0.0267902552085622,-0.0431986577649333,-0.0321026194626824,-0.145876372895339,-3747423.33062069,1
"663",15,50,3,0.01,0.005,0.005,0.005,0,0,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.501624770628487,0.00157606526856734,0.0995072447147662,0.996512085447702,1.00070207004513,0.499211740377035,-0.0918049682758658,-0.0558069298150142,-0.0537806851516924,-0.0963486653335395,-23087669.4739279,1
"664",16,50,1,0.01,-0.005,-0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.500170012280715,0.00133938745947027,0.0984406105732089,0.999674796709625,0.999177455908127,0.498963222011013,-0.0956894864373038,-0.0522235850450966,-0.0521786019466575,-0.0966870628788251,-333093.590923825,1
"665",17,50,2,0.01,-0.005,-0.005,0.005,0,0,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.0782404601085629,0.55661574951778,0.0166032174503286,0.0727538109383115,1.02152651594807,0.958290651596686,0.447471618914715,-0.0371324899349169,-0.0476845692640856,-0.0377501271923634,-0.142588474354411,-2949167.9993687,1
"666",18,50,3,0.01,-0.005,-0.005,0.005,0,0,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.0921034037197618,0.499846091071739,-0.00224389103209912,0.097720108150805,0.999564307633778,0.998727675503555,0.502683122333239,-0.0922249543385222,-0.0520738007893666,-0.053203996139467,-0.0944443678217654,-19509412.8382878,1
"667",19,100,1,0.01,0,0,0.005,0,0,0.0230258509299405,0,0,0.0230258509299405,0.528979129185163,0.0115924141061049,0.0932349932968465,1.02170762077088,0.94116378829648,0.486123394180708,-0.0320000099339722,-0.0492042523439165,-0.0374318722454885,-0.157400835465789,-1302249.13667006,1
"668",20,100,2,0.01,0,0,0.005,0,0,0.0391202300542815,0,0,0.0391202300542815,0.533530752434301,0.00220592091641796,0.0854890303160757,1.01818040442102,0.93343789794024,0.484081509318257,-0.00870189013290588,-0.0550712926816289,-0.0344123649316503,-0.149713261328413,-14168828.6755174,1
